التاريخ,الاستهلاك,الدخل,الاستثمار
1960-01-01,415.0,451.0,180.0
1960-04-01,421.0,465.0,179.0
1960-07-01,434.0,485.0,185.0
1960-10-01,448.0,493.0,192.0
1961-01-01,459.0,509.0,211.0
1961-04-01,458.0,520.0,202.0
1961-07-01,479.0,521.0,207.0
1961-10-01,487.0,540.0,214.0
1962-01-01,497.0,548.0,231.0
1962-04-01,510.0,558.0,229.0
1962-07-01,516.0,574.0,234.0
1962-10-01,525.0,583.0,237.0
1963-01-01,529.0,591.0,206.0
1963-04-01,538.0,599.0,250.0
1963-07-01,546.0,610.0,259.0
1963-10-01,555.0,627.0,263.0
1964-01-01,574.0,642.0,264.0
1964-04-01,574.0,653.0,280.0
1964-07-01,586.0,660.0,282.0
1964-10-01,602.0,694.0,292.0
1965-01-01,617.0,709.0,286.0
1965-04-01,639.0,734.0,302.0
1965-07-01,653.0,751.0,304.0
1965-10-01,668.0,763.0,307.0
1966-01-01,679.0,766.0,317.0
1966-04-01,686.0,779.0,314.0
1966-07-01,697.0,808.0,306.0
1966-10-01,688.0,785.0,304.0
1967-01-01,704.0,794.0,292.0
1967-04-01,699.0,799.0,275.0
1967-07-01,709.0,799.0,273.0
1967-10-01,715.0,812.0,301.0
1968-01-01,724.0,837.0,280.0
1968-04-01,746.0,853.0,289.0
1968-07-01,758.0,876.0,303.0
1968-10-01,779.0,897.0,322.0
1969-01-01,798.0,922.0,315.0
1969-04-01,816.0,949.0,339.0
1969-07-01,837.0,979.0,364.0
1969-10-01,858.0,988.0,371.0
1970-01-01,881.0,1025.0,375.0
1970-04-01,905.0,1063.0,432.0
1970-07-01,934.0,1104.0,453.0
1970-10-01,968.0,1131.0,460.0
1971-01-01,983.0,1137.0,475.0
1971-04-01,1013.0,1178.0,496.0
1971-07-01,1034.0,1211.0,494.0
1971-10-01,1064.0,1256.0,498.0
1972-01-01,1101.0,1290.0,526.0
1972-04-01,1102.0,1314.0,519.0
1972-07-01,1145.0,1346.0,516.0
1972-10-01,1173.0,1385.0,531.0
1973-01-01,1216.0,1416.0,573.0
1973-04-01,1229.0,1436.0,551.0
1973-07-01,1242.0,1462.0,538.0
1973-10-01,1267.0,1493.0,532.0
1974-01-01,1295.0,1516.0,558.0
1974-04-01,1317.0,1557.0,524.0
1974-07-01,1355.0,1613.0,525.0
1974-10-01,1371.0,1642.0,519.0
1975-01-01,1402.0,1690.0,526.0
1975-04-01,1452.0,1759.0,510.0
1975-07-01,1485.0,1756.0,519.0
1975-10-01,1516.0,1780.0,538.0
1976-01-01,1549.0,1807.0,549.0
1976-04-01,1567.0,1831.0,570.0
1976-07-01,1588.0,1873.0,559.0
1976-10-01,1631.0,1897.0,584.0
1977-01-01,1650.0,1910.0,611.0
1977-04-01,1685.0,1943.0,597.0
1977-07-01,1722.0,1976.0,603.0
1977-10-01,1752.0,2018.0,619.0
1978-01-01,1774.0,2040.0,635.0
1978-04-01,1807.0,2070.0,658.0
1978-07-01,1831.0,2121.0,675.0
1978-10-01,1842.0,2132.0,700.0
1979-01-01,1890.0,2199.0,692.0
1979-04-01,1958.0,2253.0,759.0
1979-07-01,1948.0,2276.0,782.0
1979-10-01,1994.0,2318.0,816.0
1980-01-01,2061.0,2369.0,844.0
1980-04-01,2056.0,2423.0,830.0
1980-07-01,2102.0,2457.0,853.0
1980-10-01,2121.0,2470.0,852.0
1981-01-01,2145.0,2521.0,833.0
1981-04-01,2164.0,2545.0,860.0
1981-07-01,2206.0,2580.0,870.0
1981-10-01,2225.0,2620.0,830.0
1982-01-01,2235.0,2639.0,801.0
1982-04-01,2237.0,2618.0,824.0
1982-07-01,2250.0,2628.0,831.0
1982-10-01,2271.0,2651.0,830.0
