الناتج,الاستثمار,الانفتاح
40.552,49.673,29.4738
39.3987,48.6987,29.1665
37.9173,49.1933,26.724
37.8862,49.6183,25.1982
38.1571,49.1771,25.2991
37.5192,49.0774,24.1806
35.6325,47.2737,24.4135
35.5114,46.3913,23.5822
34.454,46.6079,23.2799
36.0641,47.2035,23.9925
35.5928,47.1945,24.9757
35.8063,46.3717,24.5706
35.0884,46.0166,26.6735
35.4031,46.5419,26.6744
35.7169,45.1752,27.1459
35.9671,46.38,26.7034
35.0612,46.1514,25.8131
36.9404,45.3464,28.2959
33.4324,44.3069,26.4288
32.9682,43.1778,25.1849
35.4681,43.9407,26.1098
34.9464,42.5859,24.4714
35.1032,41.7434,24.4875
34.4353,41.8454,23.8944
31.6993,40.6324,21.7237
31.0211,39.4771,22.9379
33.1851,41.1649,24.3205
33.3272,41.02,23.3882
32.9249,40.6464,23.0964
33.4606,42.7952,22.5681
34.2759,43.7917,22.8295
33.1512,44.3681,22.1292
35.1752,45.2359,22.432
35.1545,45.8036,23.2959
35.6519,45.9347,23.3438
33.0811,43.5969,22.583
34.3555,44.247,23.1126
35.1643,44.1079,23.7548
35.279,45.6298,23.163
34.4897,46.6275,22.5688
35.1831,47.9855,21.9029
34.9866,47.5831,20.8734
35.6703,48.0387,22.9112
37.9924,49.3527,23.8154
36.8363,48.3556,21.8686
36.5754,48.2206,21.3294
36.842,47.6794,20.9895
36.4453,47.8783,19.1777
34.6054,47.7969,20.1335
34.882,47.4481,21.1282
37.0902,48.2806,21.3828
37.4509,48.7972,22.2163
36.6869,49.6238,22.0482
39.1846,50.2826,22.6586
36.6732,48.9671,22.4285
37.0223,49.1423,21.5589
37.2194,48.4404,24.341
37.6399,50.0039,23.5202
37.232,49.9263,21.3837
39.576,51.0436,22.3365
39.6285,51.7108,23.4263
40.9769,51.8345,24.2676
39.115,50.4883,24.8731
37.9524,50.2081,23.7251
39.1423,50.6036,22.3105
38.23,51.5583,23.1041
40.0143,53.3012,23.8229
41.108,53.7735,23.7823
41.4572,55.8638,24.2036
42.0492,55.4976,25.0896
39.8932,55.8012,23.6041
40.0995,55.4503,24.7123
40.4019,54.7584,24.4737
38.2668,53.06,25.566
37.9846,51.1662,24.7473
39.8174,52.5368,25.3085
38.8632,50.9314,26.8429
37.6943,50.0731,25.7117
36.5875,48.7744,26.7331
38.5353,48.7782,25.2409
37.6806,47.3439,22.6669
35.5294,45.9805,22.2849
35.4346,46.3577,22.839
36.1927,46.5079,21.7817
34.9366,46.1009,21.0222
35.6402,47.2928,20.2967
36.5045,48.6844,19.933
36.7522,49.0643,21.1782
35.9259,48.3164,22.631
38.1247,48.9836,22.1712
38.9671,49.4198,21.2695
40.7584,51.6595,21.7342
41.2414,52.0634,22.9846
41.3002,52.9316,24.5053
41.0133,52.8428,25.4806
41.2217,55.1438,24.7452
42.3926,55.1336,25.5449
42.2417,56.9296,25.0968
44.0508,59.3867,24.8005
43.3475,58.5694,24.6836
43.3807,57.3556,22.5857
42.1387,56.4584,20.8735
41.3541,55.511,20.7673
40.3427,55.3355,21.2013
38.9546,53.7977,23.6158
39.8736,54.4733,22.4415
41.3033,54.8045,22.2981
40.4631,53.6951,22.1973
41.0041,53.3403,21.2998
41.4505,55.5393,21.3861
40.9001,55.6358,21.3348
42.5222,55.9495,21.5476
41.1443,56.3333,20.3614
38.9216,54.7618,17.4637
40.067,55.6816,18.4738
41.1894,56.9354,18.9276
38.5283,54.9715,18.2706
39.8435,55.6097,18.8753
37.6986,54.6464,19.6914
37.8464,54.6589,19.9894
